top_category,sub_category
Accounting_Tax_Preparation_Bookkeeping_and_Payroll_Services,Accounting_Tax_Preparation_Bookkeeping_and_Payroll_Services
Accounting_Tax_Preparation_Bookkeeping_and_Payroll_Services,Offices_of_Certified_Public_Accountants
Accounting_Tax_Preparation_Bookkeeping_and_Payroll_Services,Other_Accounting_Services
Accounting_Tax_Preparation_Bookkeeping_and_Payroll_Services,Payroll_Services
Accounting_Tax_Preparation_Bookkeeping_and_Payroll_Services,Tax_Preparation_Services
Activities_Related_to_Credit_Intermediation,Financial_Transactions_Processing_Reserve_and_Clearinghouse_Activities
Activities_Related_to_Credit_Intermediation,Mortgage_and_Nonmortgage_Loan_Brokers
Activities_Related_to_Credit_Intermediation,Other_Activities_Related_to_Credit_Intermediation
Activities_Related_to_Real_Estate,Nonresidential_Property_Managers
Activities_Related_to_Real_Estate,Offices_of_Real_Estate_Appraisers
Activities_Related_to_Real_Estate,Real_Estate_Property_Managers
Activities_Related_to_Real_Estate,Residential_Property_Managers
Advertising_Public_Relations_and_Related_Services,Advertising_Agencies
Advertising_Public_Relations_and_Related_Services,Direct_Mail_Advertising
Advertising_Public_Relations_and_Related_Services,Media_Buying_Agencies
Advertising_Public_Relations_and_Related_Services,Public_Relations_Agencies
Amusement_Parks_and_Arcades,Amusement_Arcades
Amusement_Parks_and_Arcades,Amusement_and_Theme_Parks
Automobile_Dealers,New_Car_Dealers
Automobile_Dealers,Used_Car_Dealers
Automotive_Equipment_Rental_and_Leasing,Passenger_Car_Leasing
Automotive_Equipment_Rental_and_Leasing,Passenger_Car_Rental
Automotive_Equipment_Rental_and_Leasing,Truck_Utility_Trailer_and_RV_Recreational_Vehicle_Rental_and_Leasing
Automotive_Parts_Accessories_and_Tire_Stores,Automotive_Parts_and_Accessories_Stores
Automotive_Parts_Accessories_and_Tire_Stores,Tire_Dealers
Automotive_Repair_and_Maintenance,Automotive_Body_Paint_Interior_and_Glass_Repair
Automotive_Repair_and_Maintenance,Automotive_Mechanical_and_Electrical_Repair_and_Maintenance
Automotive_Repair_and_Maintenance,Automotive_Oil_Change_and_Lubrication_Shops
Automotive_Repair_and_Maintenance,Car_Washes
Automotive_Repair_and_Maintenance,General_Automotive_Repair
Beer_Wine_and_Liquor_Stores,Beer_Wine_and_Liquor_Stores
Book_Stores_and_News_Dealers,Book_Stores
Book_Stores_and_News_Dealers,News_Dealers_and_Newsstands
Building_Material_and_Supplies_Dealers,Hardware_Stores
Building_Material_and_Supplies_Dealers,Home_Centers
Building_Material_and_Supplies_Dealers,Paint_and_Wallpaper_Stores
Civic_and_Social_Organizations,Civic_and_Social_Organizations
Clothing_Stores,Children's_and_Infants'_Clothing_Stores
Clothing_Stores,Family_Clothing_Stores
Clothing_Stores,Men's_Clothing_Stores
Clothing_Stores,Women's_Clothing_Stores
Clothing_Stores,Clothing_Accessories_Stores
Colleges_Universities_and_Professional_Schools,Colleges_Universities_and_Professional_Schools
Computer_Systems_Design_and_Related_Services,Computer_Systems_Design_Services
Computer_Systems_Design_and_Related_Services,Custom_Computer_Programming_Services
Consumer_Goods_Rental,Consumer_Electronics_and_Appliances_Rental
Consumer_Goods_Rental,Recreational_Goods_Rental
Couriers_and_Express_Delivery_Services,Couriers_and_Express_Delivery_Services
Death_Care_Services,Cemeteries_and_Crematories
Death_Care_Services,Funeral_Homes_and_Funeral_Services
Department_Stores,Department_Stores
Depository_Credit_Intermediation,Commercial_Banking
Depository_Credit_Intermediation,Credit_Unions
Depository_Credit_Intermediation,Savings_Institutions
Direct_Selling_Establishments,Fuel_Dealers
Drinking_Places_Alcoholic_Beverages,Drinking_Places_Alcoholic_Beverages
Drycleaning_and_Laundry_Services,Coin-Operated_Laundries_and_Drycleaners
Drycleaning_and_Laundry_Services,Drycleaning_and_Laundry_Services
Electronics_and_Appliance_Stores,Electronics_Stores
Electronics_and_Appliance_Stores,Household_Appliance_Stores
Employment_Services,Employment_Placement_Agencies
Employment_Services,Executive_Search_Services
Employment_Services,Temporary_Help_Services
Florists,Florists
Furniture_Stores,Furniture_Stores
Gambling_Industries,Casinos_except_Casino_Hotels
Gambling_Industries,Other_Gambling_Industries
Gasoline_Stations,Gasoline_Stations_with_Convenience_Stores
Gasoline_Stations,Other_Gasoline_Stations
General_Merchandise_Stores_including_Warehouse_Clubs_and_Supercenters,All_Other_General_Merchandise_Stores
General_Merchandise_Stores_including_Warehouse_Clubs_and_Supercenters,Warehouse_Clubs_and_Supercenters
Grocery_Stores,Convenience_Stores
Grocery_Stores,Supermarkets_and_Other_Grocery_except_Convenience_Stores
Health_and_Personal_Care_Stores,Cosmetics_Beauty_Supplies_and_Perfume_Stores
Health_and_Personal_Care_Stores,Food_Health_Supplement_Stores
Health_and_Personal_Care_Stores,Optical_Goods_Stores
Health_and_Personal_Care_Stores,Pharmacies_and_Drug_Stores
Home_Furnishings_Stores,Floor_Covering_Stores
Home_Furnishings_Stores,Window_Treatment_Stores
Investigation_and_Security_Services,Armored_Car_Services
Investigation_and_Security_Services,Security_Guards_and_Patrol_Services
Investigation_and_Security_Services,Security_Systems_Services
Jewelry_Luggage_and_Leather_Goods_Stores,Jewelry_Stores
Jewelry_Luggage_and_Leather_Goods_Stores,Luggage_and_Leather_Goods_Stores
Junior_Colleges,Junior_Colleges
Lawn_and_Garden_Equipment_and_Supplies_Stores,Nursery_Garden_Center_and_Farm_Supply_Stores
Lawn_and_Garden_Equipment_and_Supplies_Stores,Outdoor_Power_Equipment_Stores
Legal_Services,Offices_of_Lawyers
Legal_Services,Title_Abstract_and_Settlement_Offices
Lessors_of_Real_Estate,Lessors_of_Miniwarehouses_and_Self-Storage_Units
Lessors_of_Real_Estate,Lessors_of_Residential_Buildings_and_Dwellings
Lessors_of_Real_Estate,Malls
Management_Scientific_and_Technical_Consulting_Services,Administrative_Management_and_General_Management_Consulting_Services
Management_Scientific_and_Technical_Consulting_Services,Environmental_Consulting_Services
Management_Scientific_and_Technical_Consulting_Services,Human_Resources_Consulting_Services
Management_Scientific_and_Technical_Consulting_Services,Marketing_Consulting_Services
Motion_Picture_and_Video_Industries,Drive-In_Motion_Picture_Theaters
Motion_Picture_and_Video_Industries,Motion_Picture_Theaters_except_Drive-Ins
Motion_Picture_and_Video_Industries,Motion_Picture_and_Video_Production
Museums_Historical_Sites_and_Similar_Institutions,Historical_Sites
Museums_Historical_Sites_and_Similar_Institutions,Museums
Museums_Historical_Sites_and_Similar_Institutions,Nature_Parks_and_Other_Similar_Institutions
Museums_Historical_Sites_and_Similar_Institutions,Zoos_and_Botanical_Gardens
Nondepository_Credit_Intermediation,Consumer_Lending
Nondepository_Credit_Intermediation,Credit_Card_Issuing
Nondepository_Credit_Intermediation,Real_Estate_Credit
Offices_of_Real_Estate_Agents_and_Brokers,Offices_of_Real_Estate_Agents_and_Brokers
Office_Supplies_Stationery_and_Gift_Stores,Gift_Novelty_and_Souvenir_Stores
Office_Supplies_Stationery_and_Gift_Stores,Office_Supplies_and_Stationery_Stores
Other_Amusement_and_Recreation_Industries,All_Other_Amusement_and_Recreation_Industries
Other_Amusement_and_Recreation_Industries,Bowling_Centers
Other_Amusement_and_Recreation_Industries,Fitness_and_Recreational_Sports_Centers
Other_Amusement_and_Recreation_Industries,Golf_Courses_and_Country_Clubs
Other_Amusement_and_Recreation_Industries,Marinas
Other_Amusement_and_Recreation_Industries,Skiing_Facilities
Other_Financial_Investment_Activities,Investment_Advice
Other_Financial_Investment_Activities,Portfolio_Management
Other_Miscellaneous_Store_Retailers,Art_Dealers
Other_Miscellaneous_Store_Retailers,Pet_and_Pet_Supplies_Stores
Other_Miscellaneous_Store_Retailers,Tobacco_Stores
Other_Motor_Vehicle_Dealers,Boat_Dealers
Other_Motor_Vehicle_Dealers,Motorcycle_ATV_and_All_Other_Motor_Vehicle_Dealers
Other_Motor_Vehicle_Dealers,Recreational_Vehicle_Dealers
Other_Personal_Services,Parking_Lots_and_Garages
Other_Personal_Services,Pet_Care_except_Veterinary_Services
Other_Personal_Services,Photofinishing
Other_Professional_Scientific_and_Technical_Services,Commercial_Photography
Other_Professional_Scientific_and_Technical_Services,Photography_Studios_Portrait
Other_Professional_Scientific_and_Technical_Services,Veterinary_Services
Other_Schools_and_Instruction,Automobile_Driving_Schools
Other_Schools_and_Instruction,Exam_Preparation_and_Tutoring
Other_Schools_and_Instruction,Fine_Arts_Schools
Other_Schools_and_Instruction,Language_Schools
Other_Schools_and_Instruction,Sports_and_Recreation_Instruction
Performing_Arts_Companies,Dance_Companies
Performing_Arts_Companies,Musical_Groups_and_Artists
Performing_Arts_Companies,Theater_Companies_and_Dinner_Theaters
Personal_Care_Services,Barber_Shops
Personal_Care_Services,Beauty_Salons
Personal_Care_Services,Diet_and_Weight_Reducing_Centers
Personal_Care_Services,Hair_Nail_and_Skin_Care_Services
Personal_Care_Services,Nail_Salons
Personal_Care_Services,Other_Personal_Care_Services
Personal_and_Household_Goods_Repair_and_Maintenance,Appliance_Repair_and_Maintenance
Personal_and_Household_Goods_Repair_and_Maintenance,Home_and_Garden_Equipment_Repair_and_Maintenance
Promoters_of_Performing_Arts_Sports_and_Similar_Events,Promoters_of_Performing_Arts_Sports_and_Similar_Events_with_Facilities
Promoters_of_Performing_Arts_Sports_and_Similar_Events,Promoters_of_Performing_Arts_Sports_and_Similar_Events_without_Facilities
RV_Recreational_Vehicle_Parks_and_Recreational_Camps,RV_Recreational_Vehicle_Parks_and_Campgrounds
RV_Recreational_Vehicle_Parks_and_Recreational_Camps,Recreational_and_Vacation_Camps_except_Campgrounds
Restaurants_and_Other_Eating_Places,Full-Service_Restaurants
Restaurants_and_Other_Eating_Places,Limited-Service_Restaurants
Restaurants_and_Other_Eating_Places,Snack_and_Nonalcoholic_Beverage_Bars
Scenic_and_Sightseeing_Transportation_Land,Scenic_and_Sightseeing_Transportation_Land
Scenic_and_Sightseeing_Transportation_Water,Scenic_and_Sightseeing_Transportation_Water
Services_to_Buildings_and_Dwellings,Carpet_and_Upholstery_Cleaning_Services
Services_to_Buildings_and_Dwellings,Exterminating_and_Pest_Control_Services
Services_to_Buildings_and_Dwellings,Janitorial_Services
Services_to_Buildings_and_Dwellings,Landscaping_Services
Shoe_Stores,Shoe_Stores
Special_Food_Services,Caterers
Special_Food_Services,Food_Service_Contractors
Special_Food_Services,Mobile_Food_Services
Specialized_Design_Services,Graphic_Design_Services
Specialized_Design_Services,Interior_Design_Services
Specialty_Food_Stores,Baked_Goods_Stores
Specialty_Food_Stores,Fish_and_Seafood_Markets
Specialty_Food_Stores,Fruit_and_Vegetable_Markets
Specialty_Food_Stores,Meat_Markets
Spectator_Sports,Racetracks
Spectator_Sports,Sports_Teams_and_Clubs
Sporting_Goods_Hobby_and_Musical_Instrument_Stores,Hobby_Toy_and_Game_Stores
Sporting_Goods_Hobby_and_Musical_Instrument_Stores,Musical_Instrument_and_Supplies_Stores
Sporting_Goods_Hobby_and_Musical_Instrument_Stores,Sporting_Goods_Stores
Taxi_and_Limousine_Service,Limousine_Service
